Issue Type,Issue key,Issue id,Summary,Parent,Parent key,Parent summary,Description,Assignee,Assignee Id,Status,Due date,Comments
Story,PQMAP-52,2864675,[Event Grouping] Mother Event - Automated Voltage Dip Grouping Logic (Backend),1017798,PQMAP-1,Event Management,"*As a* System Administrator, 

*I want* the backend to automatically correlate related voltage dips based on time and topology 

*so that* the Event List remains clean and reflects the true structure of grid disturbances.



+*Description*+ +*_(Requirement No: 1.5.1)_*++*:*+

The system shall implement a *time-buffered consolidation logic* for all incoming voltage dip records. When a new dip file is ingested, the system will not immediately finalize the record. Instead, it will hold the event in a ""pending"" state for a configurable window (e.g., 5 minutes) to aggregate related dips from different voltage levels and locations into a single *Mother-Child* hierarchy.



+*Acceptance Criteria:*+

*AC1 - Inactivity/Buffer Timer:*

* Upon receipt of the first dip record in a potential sequence, the backend shall initiate a *Consolidation Window* (Default: 5 minutes, configurable via System Settings).

*AC2 - Grouping Heuristics (The ""Matching"" Logic):* The backend shall group events as Mother and Child if they meet the following criteria:

* *Temporal Correlation:* Occurring within a narrow time window (e.g., < 5 seconds).
* *Topological Relationship:* The Mother is identified as the highest voltage level (e.g., 11kV), and Children are identified as downstream meters (e.g., 380V) fed by the same substation/transformer.

*AC3 - Mother Event Selection:*

* The event with the *highest voltage level* or the *earliest timestamp* within the cluster shall be designated as the *Mother Event*.
* If multiple 11kV dips occur, the system should evaluate if they belong to the same ""Ring"" before grouping.

*AC4 - Automatic Attribute Aggregation:*

* The Mother Event shall summarize the ""Worst Magnitude"" and ""Total Duration"" across the entire group for the Overview list.

*AC5 - Finalization:* Once the buffer timer expires and no further related dips are detected, the group is ""committed"" to the database and appears in the UI.",,,To Do,,
Story,PQMAP-51,2864673,[Event Grouping] Event Operation - Grouping Maintenance,1017798,PQMAP-1,Event Management,"*As a* System Operator or Power Quality Engineer,

*I want to* manually manage the relationship between Mother and Child events 

*so that* I can correct automated grouping errors and ensure the incident hierarchy accurately reflects the grid's topology.



+*Description*+ +*_(Requirement No: 1.5.1)_*++*:*+

The *Event Detail* page for a Voltage Dip (Mother Event) shall include a ""Child Events"" section. This tool allows users to see all currently linked Child events, remove (ungroup) incorrect ones, or search for and add (re-group) other events occurring within the same incident window that were missed by the automated logic.



+*Acceptance Criteria:*+

*AC1 - Child Event List:*

* Display a table within the Mother Event's detail pane (Child Events) listing all currently associated Child records.
* Columns: *Meter Name, SCADA Code, Voltage Level, Incident Time, and Magnitude.*

*AC2 - Ungroup Functionality:*

* Provide an *""Ungroup""* icon next to each child record.
* Clicking this removes the link; the child record then becomes an independent ""Mother"" event (or orphan) in the main list.

*AC3 - Re-group (Add) Action:*

* Provide a prominent *""Re-group""* button at the top of the child list.

*AC4 - Smart Selection Modal:*

* Clicking ""Re-group"" must open a pop-up modal.
* *Auto-Filtered Results:* The modal must automatically display events that: 
** Occurred within 15 sec window of the Mother event. 
** Belong to meters geographically or electrically downstream (if topology data is available)
* *Manual Search:* Users can search for other events by SCADA code or specific timestamp if they fall outside the auto-suggested window.

*AC5 - Multi-Select & Link:*

* Users can ""Tick"" multiple events from the modal list.
* Clicking *""Confirm Grouping""* creates the link, updating the Child's Parent ID to match the current Mother event.

*AC6 - Status Propagation:* As per [https://clpdigital.atlassian.net/browse/PQMAP-22|https://clpdigital.atlassian.net/browse/PQMAP-22|smart-link], any newly linked children must immediately inherit the ""False Alarm"" status of the Mother event.",,,To Do,,
Story,PQMAP-50,2864554,[Event Detail] Overview - Power Factor,1017798,PQMAP-1,Event Management,"*As a* System Operator or Power Quality Engineer, 

*I want to* see a summarized list of key event parameters 

*so that* I can quickly identify the severity and nature of a power factor at a glance.



+*Description*+ +*_(Requirement No: 1.2.1)_*++*:*+

The ""Master"" view shall display a list of events with a specific set of attributes. This table/list provides the essential technical ""signature"" of the swell, including magnitude across all phases and critical operational flags.



+*Acceptance Criteria:*+ {color:#ffc400}+*<<Need to review the columns>>*+{color}

*AC1 - Core Event Data:* The overview must display the following columns/fields:

* *Incident Time:* (Formatted as DD/MM/YYYY HH:mm:ss)
* *Voltage Level:* (e.g., 11kV, 380V)
* *Source Substation:* (Site Name/ID)
* *Transformer No. & Ring Number:* (Asset identification)

*AC2 - Magnitude & Duration:*

* *Phase Percentages:* VL1 (%), VL2 (%), and VL3 (%)
* *Duration:* (Total time in ms)

*AC3 - Binary Indicators (Yes/No):* These should be represented as clear status icons or labels:

* *Min Volt:* Indicates if the voltage dropped below the minimum threshold.
* *FR:* Indicates if this is Fault Recorder Trigger.

*AC4 - Classification & Workflow:*

* *False Alarm:* A flag to distinguish genuine events from noise/errors.
* *Status:* The current workflow stage (e.g., New, Investigating, Closed).",,,To Do,,
Story,PQMAP-49,2864553,[Event Detail] Overview - Transient Events,1017798,PQMAP-1,Event Management,"*As a* System Operator or Power Quality Engineer, 

*I want to* see a summarized list of key event parameters 

*so that* I can quickly identify the severity and nature of a Transient at a glance.



+*Description*+ +*_(Requirement No: 1.2.1)_*++*:*+

The ""Master"" view shall display a list of events with a specific set of attributes. This table/list provides the essential technical ""signature"" of the swell, including magnitude across all phases and critical operational flags.



+*Acceptance Criteria:*+ {color:#ffc400}+*<<Need to review the columns>>*+{color}

*AC1 - Core Event Data:* The overview must display the following columns/fields:

* *Incident Time:* (Formatted as DD/MM/YYYY HH:mm:ss)
* *Voltage Level:* (e.g., 11kV, 380V)
* *Source Substation:* (Site Name/ID)
* *Transformer No. & Ring Number:* (Asset identification)

*AC2 - Magnitude & Duration:*

* *Phase Percentages:* VL1 (%), VL2 (%), and VL3 (%)
* *Duration:* (Total time in ms)

*AC3 - Binary Indicators (Yes/No):* These should be represented as clear status icons or labels:

* *Min Volt:* Indicates if the voltage dropped below the minimum threshold.
* *FR:* Indicates if this is Fault Recorder Trigger.

*AC4 - Classification & Workflow:*

* *False Alarm:* A flag to distinguish genuine events from noise/errors.
* *Status:* The current workflow stage (e.g., New, Investigating, Closed).",,,To Do,,
Story,PQMAP-48,2864552,[Event Detail] Overview - Flickering Events,1017798,PQMAP-1,Event Management,"*As a* System Operator or Power Quality Engineer, 

*I want to* see a summarized list of key event parameters 

*so that* I can quickly identify the severity and nature of a flickering at a glance.



+*Description*+ +*_(Requirement No: 1.2.1)_*++*:*+

The ""Master"" view shall display a list of events with a specific set of attributes. This table/list provides the essential technical ""signature"" of the swell, including magnitude across all phases and critical operational flags.



+*Acceptance Criteria:*+ {color:#ffc400}+*<<Need to review the columns>>*+{color}

*AC1 - Core Event Data:* The overview must display the following columns/fields:

* *Incident Time:* (Formatted as DD/MM/YYYY HH:mm:ss)
* *Voltage Level:* (e.g., 11kV, 380V)
* *Source Substation:* (Site Name/ID)
* *Transformer No. & Ring Number:* (Asset identification)

*AC2 - Magnitude & Duration:*

* *Phase Percentages:* VL1 (%), VL2 (%), and VL3 (%)
* *Duration:* (Total time in ms)

*AC3 - Binary Indicators (Yes/No):* These should be represented as clear status icons or labels:

* *Min Volt:* Indicates if the voltage dropped below the minimum threshold.
* *FR:* Indicates if this is Fault Recorder Trigger.

*AC4 - Classification & Workflow:*

* *False Alarm:* A flag to distinguish genuine events from noise/errors.
* *Status:* The current workflow stage (e.g., New, Investigating, Closed).",,,To Do,,
Story,PQMAP-47,2864550,[Event Detail] Overview - Harmonic Events,1017798,PQMAP-1,Event Management,"*As a* System Operator or Power Quality Engineer, 

*I want to* see a summarized list of key event parameters 

*so that* I can quickly identify the severity and nature of a harmonic at a glance.



+*Description*+ +*_(Requirement No: 1.2.1)_*++*:*+

The ""Master"" view shall display a list of events with a specific set of attributes. This table/list provides the essential technical ""signature"" of the swell, including magnitude across all phases and critical operational flags.



+*Acceptance Criteria:*+ {color:#ffc400}+*<<Need to review the columns>>*+{color}

*AC1 - Core Event Data:* The overview must display the following columns/fields:

* *Incident Time:* (Formatted as DD/MM/YYYY HH:mm:ss)
* *Voltage Level:* (e.g., 11kV, 380V)
* *Source Substation:* (Site Name/ID)
* *Transformer No. & Ring Number:* (Asset identification)

*AC2 - Magnitude & Duration:*

* *Phase Percentages:* VL1 (%), VL2 (%), and VL3 (%)
* *Duration:* (Total time in ms)

*AC3 - Binary Indicators (Yes/No):* These should be represented as clear status icons or labels:

* *Min Volt:* Indicates if the voltage dropped below the minimum threshold.
* *FR:* Indicates if this is Fault Recorder Trigger.

*AC4 - Classification & Workflow:*

* *False Alarm:* A flag to distinguish genuine events from noise/errors.
* *Status:* The current workflow stage (e.g., New, Investigating, Closed).",,,To Do,,
Story,PQMAP-46,2864549,[Event Detail] Overview - Swell Events,1017798,PQMAP-1,Event Management,"*As a* System Operator or Power Quality Engineer, 

*I want to* see a summarized list of key event parameters 

*so that* I can quickly identify the severity and nature of a swell at a glance.



+*Description*+ +*_(Requirement No: 1.2.1)_*++*:*+

The ""Master"" view shall display a list of events with a specific set of attributes. This table/list provides the essential technical ""signature"" of the swell, including magnitude across all phases and critical operational flags.



+*Acceptance Criteria:*+

*AC1 - Core Event Data:* The overview must display the following columns/fields:

* *Incident Time:* (Formatted as DD/MM/YYYY HH:mm:ss)
* *Voltage Level:* (e.g., 11kV, 380V)
* *Source Substation:* (Site Name/ID)
* *Transformer No. & Ring Number:* (Asset identification)

*AC2 - Magnitude & Duration:*

* *Phase Percentages:* VL1 (%), VL2 (%), and VL3 (%)
* *Duration:* (Total time in ms)

*AC3 - Binary Indicators (Yes/No):* These should be represented as clear status icons or labels:

* *Min Volt:* Indicates if the voltage dropped below the minimum threshold.
* *FR:* Indicates if this is Fault Recorder Trigger.

*AC4 - Classification & Workflow:*

* *False Alarm:* A flag to distinguish genuine events from noise/errors.
* *Status:* The current workflow stage (e.g., New, Investigating, Closed).",,,To Do,,
Story,PQMAP-45,2864547,[Event List] Data Export - All Non-Voltage Dip Events,1017798,PQMAP-1,Event Management,"*As a* System Operator or Power Quality Engineer,

*I want to* export Swell, Harmonic, Flickering, Transient, and Power Factor data to CSV or Excel 

*so that* I can perform specialized offline analysis and compliance reporting.



+*Description:*+

The system shall provide a data export utility within the ""PQ Event List"" view. This utility must intelligently adapt the export file structure based on the active event categories selected by the user, ensuring that technical metrics specific to those events are preserved in the output.



+*Acceptance Criteria:*+

*AC1 - Export Formats:* The system must support two export formats: *.CSV* or *.XLSX*.

*AC2 - Filter Integration:* The export must respect all active *Basic and Advanced filters* [https://clpdigital.atlassian.net/browse/PQMAP-44|https://clpdigital.atlassian.net/browse/PQMAP-44|smart-link]. If a user has filtered ""Voltage Level: 132kV,"" only those records should be exported.

*AC3 - Data Fidelity:* All columns listed in the following events' detail (Incident Time, Site ID, Phase Voltages, etc.) must be included in the export file.

* [https://clpdigital.atlassian.net/browse/PQMAP-46|https://clpdigital.atlassian.net/browse/PQMAP-46|smart-link] 
* [https://clpdigital.atlassian.net/browse/PQMAP-47|https://clpdigital.atlassian.net/browse/PQMAP-47|smart-link] 
* [https://clpdigital.atlassian.net/browse/PQMAP-48|https://clpdigital.atlassian.net/browse/PQMAP-48|smart-link] 
* [https://clpdigital.atlassian.net/browse/PQMAP-49|https://clpdigital.atlassian.net/browse/PQMAP-49|smart-link] 
* [https://clpdigital.atlassian.net/browse/PQMAP-50|https://clpdigital.atlassian.net/browse/PQMAP-50|smart-link] 

*AC4 - File Naming Convention:* The default filename should follow a clear pattern, e.g., {{Voltage_Dip_Events_YYYYMMDD_HHMM.xlsx}}.

*AC5 - Performance:* For large datasets (e.g., >1,000 records), the system should provide a visual indicator (loading spinner) during the file generation process.



+*Sample Screen (For Reference Only):*+

!image-20260129-172755.png|width=625,alt=""image-20260129-172755.png""!",,,In Progress,,
Story,PQMAP-44,2864542,[Event List] Filter & Searching - All Non-Voltage Dip Events,1017798,PQMAP-1,Event Management,"*As a* System Operator or Power Quality Engineer, 

*I want* a streamlined filtering interface for non-dip events

*so that* I can manage diverse power quality data without being overwhelmed by irrelevant parameters.



+*Description*+ +*_(Requirement No: 1.1.3)_*++*:*+

The ""Event List"" shall feature a two-tiered filtering mechanism. By default, the system will display a ""Basic Filter"" bar containing the most frequently used parameters. An ""Advanced Filter"" toggle or expandable section will house more technical or secondary parameters to keep the primary view uncluttered.



+*Acceptance Criteria:*+

*AC1 - Tier 1: Basic Filters (Visible by Default):*

* *Event Category:* Multi-select dropdown (Swell, Harmonic, Flickering, Transient, Power Factor).
* *Date/Time Range:* Quick selection (e.g., Last 24 hours, Last 7 days) and custom picker.
* *Voltage Level:* Dropdown filter (e.g., 11kV, 22kV, 132kV).
* *Source Substation:* Multi-select dropdown.
* *Include Parent & Child:* Yes/No

*AC2 - Tier 2: Advanced Filters (Expandable/Collapsible):*

* *Technical IDs:* Site ID, IDR No., Meter Name
* *PQ-Specific Thresholds:*
** _Swell:_ Voltage Magnitude > X%.
** _Harmonic:_ THD > X%.
** _Flicker:_ $P_{st}$ or $P_{lt}$ > X.
** _Power Factor:_ Value < X.

*AC3 - Persistence:* The system should remember if the ""Advanced"" section was expanded or collapsed during the current user session.

*AC4 - Clear All:* A single-click ""Reset"" button must be available to clear all active filters (both Basic and Advanced).

*AC5 - Profiles*: The system allows users to set multiple profiles to store the filters selected. Users select from the profiles dropdown list, and the event list is updated according to the pre-defined filters.



+*Sample Screen (For Reference Only):*+

!image-20260129-193147.png|width=882,alt=""image-20260129-193147.png""!

!image-20260129-193302.png|width=445,alt=""image-20260129-193302.png""!",,,In Progress,,
Story,PQMAP-43,2864530,[Event List] Category - All Non-Voltage Dip Events,1017798,PQMAP-1,Event Management,"*As a* System Operator or Power Quality Engineer, 

*I want* a dedicated list for non-dip events (Swell, Harmonic, Flickering, Transient, and Power Factor) 

*so that* I can monitor general grid health and identify long-term quality trends without cluttering the critical Voltage Dip workspace.



+*Description*+ +*_(Requirement No.: 1.1.1)_*++*:*+

The system shall provide a separate ""PQ Event List"" page. This page functions as a centralized repository for all detected anomalies that do not fall under the Voltage Dip category. It will follow a similar master-detail structure but will be optimized for the unique parameters of these specific event types.



+*Acceptance Criteria*+

*AC1 - Display Layout:*

* *Top:* 
** Filters Button [https://clpdigital.atlassian.net/browse/PQMAP-44|https://clpdigital.atlassian.net/browse/PQMAP-44|smart-link] 
** Data Export Button [https://clpdigital.atlassian.net/browse/PQMAP-45|https://clpdigital.atlassian.net/browse/PQMAP-45|smart-link] 
** Save Profile Button.

!image-20260129-172755.png|width=625,alt=""image-20260129-172755.png""!

* *Centre:* Full-width Event List Table with the following fields (10 events/page) according to the Filtering Criteria:
** *Incident Time:* (Formatted as DD/MM/YYYY HH:mm:ss)
** *Voltage Level:* (e.g., 11kV, 380V)
** *Source Substation:* (e.g. HWL, YME)
** *Transformer No.* (e.g. H1, H2)
** *Ring Number:* (e.g. TCTR0009)
** *Phase Percentages:* VL1 (%), VL2 (%), and VL3 (%)
** *Duration:* (Total time in ms)
** *Min Volt:* Indicates if the voltage dropped below the minimum threshold.
** *FR:* Indicates if this is Fault Recorder Trigger.
** *False Alarm:* A flag to distinguish genuine events from noise/errors.
** *Status:* if the email notification has been sent

!image-20260129-174242.png|width=882,alt=""image-20260129-174242.png""!

* *Bottom:* Event Detail
** Clicking any row in the result table triggers the Event Detail:
*** [https://clpdigital.atlassian.net/browse/PQMAP-46|https://clpdigital.atlassian.net/browse/PQMAP-46|smart-link] 
*** [https://clpdigital.atlassian.net/browse/PQMAP-47|https://clpdigital.atlassian.net/browse/PQMAP-47|smart-link] 
*** [https://clpdigital.atlassian.net/browse/PQMAP-48|https://clpdigital.atlassian.net/browse/PQMAP-48|smart-link] 
*** [https://clpdigital.atlassian.net/browse/PQMAP-49|https://clpdigital.atlassian.net/browse/PQMAP-49|smart-link] 
*** [https://clpdigital.atlassian.net/browse/PQMAP-50|https://clpdigital.atlassian.net/browse/PQMAP-50|smart-link] ",,,In Progress,,
